key,status,value,used_exact,dynamic_risk,builtin_risk,runtime_value_seen,exact_files,runtime_pages,notes
general.password_page.modal,used_exact,Modal,True,False,True,True,sections/password--header.liquid,https://voldt.it/; https://voldt.it/cart; https://voldt.it/collections/all; https://voldt.it/search?q=zzzzunlikelyquery&type=product&page=1; https://voldt.it/blogs/notizie; https://voldt.it/pages/faq; https://voldt.it/pages/diventare-partner; https://voldt.it/pages/reso-gratuito; https://voldt.it/products/cavo-di-ricarica-presa-comando-rossa-tipo-2-32a-trifase-regolabile-8a-32a-22kw; https://voldt.it/products/cavo-di-ricarica-presa-comando-tipo-da-2-a-16a-monofase-regolabile-8a-16a-3-7kw-ev; https://voldt.it/products/tipo-2-cee-modalita-3-regolabile-8a-16a-11kw; https://voldt.it/products/tipo-2-schuko-8a-16a-37kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-16a-11kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-32a-22kw; https://voldt.it/pages/algemeen; https://voldt.it/pages/autos; https://voldt.it/pages/garantie-en-reclamatie; https://voldt.it/pages/impressum; https://voldt.it/pages/in-quali-paesi-viaggiate-con-il-vostro-veicolo-elettrico; https://voldt.it/pages/informatie-levering; https://voldt.it/blogs/notizie/come-la-sezione-del-cavo-influisce-sulla-velocita-e-sulla-sicurezza-della-ricarica-ev; https://voldt.it/blogs/notizie/come-la-temperatura-influisce-sul-tuo-cavo-di-ricarica-per-veicoli-elettrici; https://voldt.it/blogs/notizie/perche-i-cavi-di-ricarica-ev-certificati-vengono-testati-singolarmente-prima-della-spedizione; https://voldt.it/blogs/notizie/perche-i-conducenti-di-ve-scelgono-cavi-di-ricarica-32a; https://voldt.it/blogs/notizie/quale-cavo-di-ricarica-dovrei-scegliere; https://voldt.it/blogs/notizie/tipi-di-cavi-di-ricarica-per-auto-elettriche-guida-completa,Exact key path found in source files; Looks like a Shopify/platform or built-in component key; Translated value found in fetched storefront HTML
general.password_page.powered_by_shopify_html,used_exact,This shop will be powered by {{ shopify }},True,False,True,False,sections/password--footer.liquid,,Exact key path found in source files; Looks like a Shopify/platform or built-in component key
general.placeholders.email,used_exact,Email,True,False,False,True,sections/s--contact-form.liquid,https://voldt.it/pages/diventare-partner; https://voldt.it/pages/reso-gratuito; https://voldt.it/products/cavo-di-ricarica-presa-comando-rossa-tipo-2-32a-trifase-regolabile-8a-32a-22kw; https://voldt.it/products/cavo-di-ricarica-presa-comando-tipo-da-2-a-16a-monofase-regolabile-8a-16a-3-7kw-ev; https://voldt.it/products/tipo-2-cee-modalita-3-regolabile-8a-16a-11kw; https://voldt.it/products/tipo-2-schuko-8a-16a-37kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-16a-11kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-32a-22kw,Exact key path found in source files; Translated value found in fetched storefront HTML
general.placeholders.last_name,runtime_value_seen,Doe,False,False,False,True,,https://voldt.it/; https://voldt.it/cart; https://voldt.it/collections/all; https://voldt.it/search?q=zzzzunlikelyquery&type=product&page=1; https://voldt.it/blogs/notizie; https://voldt.it/pages/faq; https://voldt.it/pages/diventare-partner; https://voldt.it/pages/reso-gratuito; https://voldt.it/products/cavo-di-ricarica-presa-comando-rossa-tipo-2-32a-trifase-regolabile-8a-32a-22kw; https://voldt.it/products/cavo-di-ricarica-presa-comando-tipo-da-2-a-16a-monofase-regolabile-8a-16a-3-7kw-ev; https://voldt.it/products/tipo-2-cee-modalita-3-regolabile-8a-16a-11kw; https://voldt.it/products/tipo-2-schuko-8a-16a-37kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-16a-11kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-32a-22kw; https://voldt.it/pages/algemeen; https://voldt.it/pages/autos; https://voldt.it/pages/garantie-en-reclamatie; https://voldt.it/pages/impressum; https://voldt.it/pages/in-quali-paesi-viaggiate-con-il-vostro-veicolo-elettrico; https://voldt.it/pages/informatie-levering; https://voldt.it/blogs/notizie/come-la-sezione-del-cavo-influisce-sulla-velocita-e-sulla-sicurezza-della-ricarica-ev; https://voldt.it/blogs/notizie/come-la-temperatura-influisce-sul-tuo-cavo-di-ricarica-per-veicoli-elettrici; https://voldt.it/blogs/notizie/perche-i-cavi-di-ricarica-ev-certificati-vengono-testati-singolarmente-prima-della-spedizione; https://voldt.it/blogs/notizie/perche-i-conducenti-di-ve-scelgono-cavi-di-ricarica-32a; https://voldt.it/blogs/notizie/quale-cavo-di-ricarica-dovrei-scegliere; https://voldt.it/blogs/notizie/tipi-di-cavi-di-ricarica-per-auto-elettriche-guida-completa,Translated value found in fetched storefront HTML
general.placeholders.name,used_exact,Name,True,False,False,True,sections/s--contact-form.liquid,https://voldt.it/; https://voldt.it/cart; https://voldt.it/collections/all; https://voldt.it/search?q=zzzzunlikelyquery&type=product&page=1; https://voldt.it/blogs/notizie; https://voldt.it/pages/faq; https://voldt.it/pages/diventare-partner; https://voldt.it/pages/reso-gratuito; https://voldt.it/products/cavo-di-ricarica-presa-comando-rossa-tipo-2-32a-trifase-regolabile-8a-32a-22kw; https://voldt.it/products/cavo-di-ricarica-presa-comando-tipo-da-2-a-16a-monofase-regolabile-8a-16a-3-7kw-ev; https://voldt.it/products/tipo-2-cee-modalita-3-regolabile-8a-16a-11kw; https://voldt.it/products/tipo-2-schuko-8a-16a-37kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-16a-11kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-32a-22kw; https://voldt.it/pages/algemeen; https://voldt.it/pages/autos; https://voldt.it/pages/garantie-en-reclamatie; https://voldt.it/pages/impressum; https://voldt.it/pages/in-quali-paesi-viaggiate-con-il-vostro-veicolo-elettrico; https://voldt.it/pages/informatie-levering; https://voldt.it/blogs/notizie/come-la-sezione-del-cavo-influisce-sulla-velocita-e-sulla-sicurezza-della-ricarica-ev; https://voldt.it/blogs/notizie/come-la-temperatura-influisce-sul-tuo-cavo-di-ricarica-per-veicoli-elettrici; https://voldt.it/blogs/notizie/perche-i-cavi-di-ricarica-ev-certificati-vengono-testati-singolarmente-prima-della-spedizione; https://voldt.it/blogs/notizie/perche-i-conducenti-di-ve-scelgono-cavi-di-ricarica-32a; https://voldt.it/blogs/notizie/quale-cavo-di-ricarica-dovrei-scegliere; https://voldt.it/blogs/notizie/tipi-di-cavi-di-ricarica-per-auto-elettriche-guida-completa,Exact key path found in source files; Translated value found in fetched storefront HTML
general.placeholders.phone,used_exact,+15551234567,True,False,False,False,sections/s--contact-form.liquid,,Exact key path found in source files
general.search.all,runtime_value_seen,All,False,False,False,True,,https://voldt.it/; https://voldt.it/cart; https://voldt.it/collections/all; https://voldt.it/search?q=zzzzunlikelyquery&type=product&page=1; https://voldt.it/blogs/notizie; https://voldt.it/pages/faq; https://voldt.it/pages/diventare-partner; https://voldt.it/pages/reso-gratuito; https://voldt.it/products/cavo-di-ricarica-presa-comando-rossa-tipo-2-32a-trifase-regolabile-8a-32a-22kw; https://voldt.it/products/cavo-di-ricarica-presa-comando-tipo-da-2-a-16a-monofase-regolabile-8a-16a-3-7kw-ev; https://voldt.it/products/tipo-2-cee-modalita-3-regolabile-8a-16a-11kw; https://voldt.it/products/tipo-2-schuko-8a-16a-37kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-16a-11kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-32a-22kw; https://voldt.it/pages/algemeen; https://voldt.it/pages/autos; https://voldt.it/pages/garantie-en-reclamatie; https://voldt.it/pages/impressum; https://voldt.it/pages/in-quali-paesi-viaggiate-con-il-vostro-veicolo-elettrico; https://voldt.it/pages/informatie-levering; https://voldt.it/blogs/notizie/come-la-sezione-del-cavo-influisce-sulla-velocita-e-sulla-sicurezza-della-ricarica-ev; https://voldt.it/blogs/notizie/come-la-temperatura-influisce-sul-tuo-cavo-di-ricarica-per-veicoli-elettrici; https://voldt.it/blogs/notizie/perche-i-cavi-di-ricarica-ev-certificati-vengono-testati-singolarmente-prima-della-spedizione; https://voldt.it/blogs/notizie/perche-i-conducenti-di-ve-scelgono-cavi-di-ricarica-32a; https://voldt.it/blogs/notizie/quale-cavo-di-ricarica-dovrei-scegliere; https://voldt.it/blogs/notizie/tipi-di-cavi-di-ricarica-per-auto-elettriche-guida-completa,Translated value found in fetched storefront HTML
general.search.car_filters.all_filters,used_exact,All Filters,True,False,False,False,snippets/m--search-car-model-filters.liquid,,Exact key path found in source files
general.search.car_filters.cable,used_exact,Cable,True,False,False,True,snippets/quick-filter--info-heading.liquid,https://voldt.it/; https://voldt.it/blogs/notizie; https://voldt.it/pages/faq; https://voldt.it/products/cavo-di-ricarica-presa-comando-rossa-tipo-2-32a-trifase-regolabile-8a-32a-22kw; https://voldt.it/products/cavo-di-ricarica-presa-comando-tipo-da-2-a-16a-monofase-regolabile-8a-16a-3-7kw-ev; https://voldt.it/products/tipo-2-cee-modalita-3-regolabile-8a-16a-11kw; https://voldt.it/products/tipo-2-schuko-8a-16a-37kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-16a-11kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-32a-22kw; https://voldt.it/pages/autos; https://voldt.it/blogs/notizie/come-la-sezione-del-cavo-influisce-sulla-velocita-e-sulla-sicurezza-della-ricarica-ev; https://voldt.it/blogs/notizie/come-la-temperatura-influisce-sul-tuo-cavo-di-ricarica-per-veicoli-elettrici; https://voldt.it/blogs/notizie/perche-i-cavi-di-ricarica-ev-certificati-vengono-testati-singolarmente-prima-della-spedizione; https://voldt.it/blogs/notizie/perche-i-conducenti-di-ve-scelgono-cavi-di-ricarica-32a; https://voldt.it/blogs/notizie/quale-cavo-di-ricarica-dovrei-scegliere; https://voldt.it/blogs/notizie/tipi-di-cavi-di-ricarica-per-auto-elettriche-guida-completa,Exact key path found in source files; Translated value found in fetched storefront HTML
general.search.car_filters.charging_time,used_exact,Charging Time,True,False,False,False,snippets/quick-filter--info-heading.liquid,,Exact key path found in source files
general.search.car_filters.close_filters,used_exact,Close filters,True,False,False,False,snippets/m--search-car-model-filters.liquid,,Exact key path found in source files
general.search.car_filters.filter_by,used_exact,Filter by,True,False,False,False,snippets/m--search-car-model-filters.liquid,,Exact key path found in source files
general.search.car_filters.power,used_exact,Power,True,False,False,True,snippets/quick-filter--info-heading.liquid,https://voldt.it/; https://voldt.it/cart; https://voldt.it/collections/all; https://voldt.it/search?q=zzzzunlikelyquery&type=product&page=1; https://voldt.it/blogs/notizie; https://voldt.it/pages/faq; https://voldt.it/pages/diventare-partner; https://voldt.it/pages/reso-gratuito; https://voldt.it/products/cavo-di-ricarica-presa-comando-rossa-tipo-2-32a-trifase-regolabile-8a-32a-22kw; https://voldt.it/products/cavo-di-ricarica-presa-comando-tipo-da-2-a-16a-monofase-regolabile-8a-16a-3-7kw-ev; https://voldt.it/products/tipo-2-cee-modalita-3-regolabile-8a-16a-11kw; https://voldt.it/products/tipo-2-schuko-8a-16a-37kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-16a-11kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-32a-22kw; https://voldt.it/pages/algemeen; https://voldt.it/pages/autos; https://voldt.it/pages/garantie-en-reclamatie; https://voldt.it/pages/impressum; https://voldt.it/pages/in-quali-paesi-viaggiate-con-il-vostro-veicolo-elettrico; https://voldt.it/pages/informatie-levering; https://voldt.it/blogs/notizie/come-la-sezione-del-cavo-influisce-sulla-velocita-e-sulla-sicurezza-della-ricarica-ev; https://voldt.it/blogs/notizie/come-la-temperatura-influisce-sul-tuo-cavo-di-ricarica-per-veicoli-elettrici; https://voldt.it/blogs/notizie/perche-i-cavi-di-ricarica-ev-certificati-vengono-testati-singolarmente-prima-della-spedizione; https://voldt.it/blogs/notizie/perche-i-conducenti-di-ve-scelgono-cavi-di-ricarica-32a; https://voldt.it/blogs/notizie/quale-cavo-di-ricarica-dovrei-scegliere; https://voldt.it/blogs/notizie/tipi-di-cavi-di-ricarica-per-auto-elettriche-guida-completa,Exact key path found in source files; Translated value found in fetched storefront HTML
general.search.car_filters.quick_filter,used_exact,Quick Filter,True,False,False,False,snippets/m--search-car-model-filters.liquid,,Exact key path found in source files
general.search.car_filters.sort,used_exact,Sort,True,False,False,True,snippets/m--search-car-model-filters.liquid,https://voldt.it/; https://voldt.it/cart; https://voldt.it/collections/all; https://voldt.it/search?q=zzzzunlikelyquery&type=product&page=1; https://voldt.it/blogs/notizie; https://voldt.it/pages/faq; https://voldt.it/pages/diventare-partner; https://voldt.it/pages/reso-gratuito; https://voldt.it/products/cavo-di-ricarica-presa-comando-rossa-tipo-2-32a-trifase-regolabile-8a-32a-22kw; https://voldt.it/products/cavo-di-ricarica-presa-comando-tipo-da-2-a-16a-monofase-regolabile-8a-16a-3-7kw-ev; https://voldt.it/products/tipo-2-cee-modalita-3-regolabile-8a-16a-11kw; https://voldt.it/products/tipo-2-schuko-8a-16a-37kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-16a-11kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-32a-22kw; https://voldt.it/pages/algemeen; https://voldt.it/pages/autos; https://voldt.it/pages/garantie-en-reclamatie; https://voldt.it/pages/impressum; https://voldt.it/pages/in-quali-paesi-viaggiate-con-il-vostro-veicolo-elettrico; https://voldt.it/pages/informatie-levering; https://voldt.it/blogs/notizie/come-la-sezione-del-cavo-influisce-sulla-velocita-e-sulla-sicurezza-della-ricarica-ev; https://voldt.it/blogs/notizie/come-la-temperatura-influisce-sul-tuo-cavo-di-ricarica-per-veicoli-elettrici; https://voldt.it/blogs/notizie/perche-i-cavi-di-ricarica-ev-certificati-vengono-testati-singolarmente-prima-della-spedizione; https://voldt.it/blogs/notizie/perche-i-conducenti-di-ve-scelgono-cavi-di-ricarica-32a; https://voldt.it/blogs/notizie/quale-cavo-di-ricarica-dovrei-scegliere; https://voldt.it/blogs/notizie/tipi-di-cavi-di-ricarica-per-auto-elettriche-guida-completa,Exact key path found in source files; Translated value found in fetched storefront HTML
general.search.car_filters.type,used_exact,Type,True,False,False,True,snippets/quick-filter--info-heading.liquid,https://voldt.it/; https://voldt.it/cart; https://voldt.it/collections/all; https://voldt.it/search?q=zzzzunlikelyquery&type=product&page=1; https://voldt.it/blogs/notizie; https://voldt.it/pages/faq; https://voldt.it/pages/diventare-partner; https://voldt.it/pages/reso-gratuito; https://voldt.it/products/cavo-di-ricarica-presa-comando-rossa-tipo-2-32a-trifase-regolabile-8a-32a-22kw; https://voldt.it/products/cavo-di-ricarica-presa-comando-tipo-da-2-a-16a-monofase-regolabile-8a-16a-3-7kw-ev; https://voldt.it/products/tipo-2-cee-modalita-3-regolabile-8a-16a-11kw; https://voldt.it/products/tipo-2-schuko-8a-16a-37kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-16a-11kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-32a-22kw; https://voldt.it/pages/algemeen; https://voldt.it/pages/autos; https://voldt.it/pages/garantie-en-reclamatie; https://voldt.it/pages/impressum; https://voldt.it/pages/in-quali-paesi-viaggiate-con-il-vostro-veicolo-elettrico; https://voldt.it/pages/informatie-levering; https://voldt.it/blogs/notizie/come-la-sezione-del-cavo-influisce-sulla-velocita-e-sulla-sicurezza-della-ricarica-ev; https://voldt.it/blogs/notizie/come-la-temperatura-influisce-sul-tuo-cavo-di-ricarica-per-veicoli-elettrici; https://voldt.it/blogs/notizie/perche-i-cavi-di-ricarica-ev-certificati-vengono-testati-singolarmente-prima-della-spedizione; https://voldt.it/blogs/notizie/perche-i-conducenti-di-ve-scelgono-cavi-di-ricarica-32a; https://voldt.it/blogs/notizie/quale-cavo-di-ricarica-dovrei-scegliere; https://voldt.it/blogs/notizie/tipi-di-cavi-di-ricarica-per-auto-elettriche-guida-completa,Exact key path found in source files; Translated value found in fetched storefront HTML
general.search.car_model_results_for,used_exact,"Car model results for ""{{ terms }}""",True,False,False,False,sections/api--search--predictive.liquid,,Exact key path found in source files
general.search.car_models_grid_label,used_exact,Car models grid,True,False,False,False,sections/search--collection-main.liquid,,Exact key path found in source files
general.search.car_models_using,used_exact,Car models using “{{ terms }}”,True,False,False,False,sections/search--collection-main.liquid,,Exact key path found in source files
general.search.cars_found_with_count.one,used_via_parent,{{ count }} car found,False,False,False,False,,,Plural child is covered by parent key usage
general.search.cars_found_with_count.other,used_via_parent,{{ count }} cars found,False,False,False,False,,,Plural child is covered by parent key usage
general.search.clear_search,used_exact,Clear search,True,False,False,False,sections/search--collection-main.liquid,,Exact key path found in source files
general.search.collections,used_exact,Collections,True,False,False,True,snippets/m--breadcrumbs.liquid,https://voldt.it/products/cavo-di-ricarica-presa-comando-rossa-tipo-2-32a-trifase-regolabile-8a-32a-22kw; https://voldt.it/products/cavo-di-ricarica-presa-comando-tipo-da-2-a-16a-monofase-regolabile-8a-16a-3-7kw-ev; https://voldt.it/products/tipo-2-cee-modalita-3-regolabile-8a-16a-11kw; https://voldt.it/products/tipo-2-schuko-8a-16a-37kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-16a-11kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-32a-22kw,Exact key path found in source files; Translated value found in fetched storefront HTML
general.search.product_results_for,used_exact,"Product results for ""{{ terms }}""",True,False,False,False,sections/api--search--predictive.liquid,,Exact key path found in source files
general.search.products,used_exact,Products,True,False,False,False,sections/search--collection-main.liquid,,Exact key path found in source files
general.search.products_found_with_count.one,used_via_parent,{{ count }} product found,False,False,False,False,,,Plural child is covered by parent key usage
general.search.products_found_with_count.other,used_via_parent,{{ count }} products found,False,False,False,False,,,Plural child is covered by parent key usage
general.search.search,used_exact,Search,True,False,False,True,snippets/header--predictive-search.liquid; sections/search--collection-main.liquid,https://voldt.it/; https://voldt.it/cart; https://voldt.it/collections/all; https://voldt.it/search?q=zzzzunlikelyquery&type=product&page=1; https://voldt.it/blogs/notizie; https://voldt.it/pages/faq; https://voldt.it/pages/diventare-partner; https://voldt.it/pages/reso-gratuito; https://voldt.it/products/cavo-di-ricarica-presa-comando-rossa-tipo-2-32a-trifase-regolabile-8a-32a-22kw; https://voldt.it/products/cavo-di-ricarica-presa-comando-tipo-da-2-a-16a-monofase-regolabile-8a-16a-3-7kw-ev; https://voldt.it/products/tipo-2-cee-modalita-3-regolabile-8a-16a-11kw; https://voldt.it/products/tipo-2-schuko-8a-16a-37kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-16a-11kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-32a-22kw; https://voldt.it/pages/algemeen; https://voldt.it/pages/autos; https://voldt.it/pages/garantie-en-reclamatie; https://voldt.it/pages/impressum; https://voldt.it/pages/in-quali-paesi-viaggiate-con-il-vostro-veicolo-elettrico; https://voldt.it/pages/informatie-levering; https://voldt.it/blogs/notizie/come-la-sezione-del-cavo-influisce-sulla-velocita-e-sulla-sicurezza-della-ricarica-ev; https://voldt.it/blogs/notizie/come-la-temperatura-influisce-sul-tuo-cavo-di-ricarica-per-veicoli-elettrici; https://voldt.it/blogs/notizie/perche-i-cavi-di-ricarica-ev-certificati-vengono-testati-singolarmente-prima-della-spedizione; https://voldt.it/blogs/notizie/perche-i-conducenti-di-ve-scelgono-cavi-di-ricarica-32a; https://voldt.it/blogs/notizie/quale-cavo-di-ricarica-dovrei-scegliere; https://voldt.it/blogs/notizie/tipi-di-cavi-di-ricarica-per-auto-elettriche-guida-completa,Exact key path found in source files; Translated value found in fetched storefront HTML
general.search.you_might_be_interested_in,used_exact,You might be interested in,True,False,False,False,snippets/header--predictive-search.liquid,,Exact key path found in source files
general.share.close,builtin_risk,Close share,False,False,True,False,,,Looks like a Shopify/platform or built-in component key
general.share.copy_to_clipboard,builtin_risk,Copy link,False,False,True,False,,,Looks like a Shopify/platform or built-in component key
general.share.share_url,builtin_risk,Link,False,False,True,True,,https://voldt.it/; https://voldt.it/cart; https://voldt.it/collections/all; https://voldt.it/search?q=zzzzunlikelyquery&type=product&page=1; https://voldt.it/blogs/notizie; https://voldt.it/pages/faq; https://voldt.it/pages/diventare-partner; https://voldt.it/pages/reso-gratuito; https://voldt.it/products/cavo-di-ricarica-presa-comando-rossa-tipo-2-32a-trifase-regolabile-8a-32a-22kw; https://voldt.it/products/cavo-di-ricarica-presa-comando-tipo-da-2-a-16a-monofase-regolabile-8a-16a-3-7kw-ev; https://voldt.it/products/tipo-2-cee-modalita-3-regolabile-8a-16a-11kw; https://voldt.it/products/tipo-2-schuko-8a-16a-37kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-16a-11kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-32a-22kw; https://voldt.it/pages/algemeen; https://voldt.it/pages/autos; https://voldt.it/pages/garantie-en-reclamatie; https://voldt.it/pages/impressum; https://voldt.it/pages/in-quali-paesi-viaggiate-con-il-vostro-veicolo-elettrico; https://voldt.it/pages/informatie-levering; https://voldt.it/blogs/notizie/come-la-sezione-del-cavo-influisce-sulla-velocita-e-sulla-sicurezza-della-ricarica-ev; https://voldt.it/blogs/notizie/come-la-temperatura-influisce-sul-tuo-cavo-di-ricarica-per-veicoli-elettrici; https://voldt.it/blogs/notizie/perche-i-cavi-di-ricarica-ev-certificati-vengono-testati-singolarmente-prima-della-spedizione; https://voldt.it/blogs/notizie/perche-i-conducenti-di-ve-scelgono-cavi-di-ricarica-32a; https://voldt.it/blogs/notizie/quale-cavo-di-ricarica-dovrei-scegliere; https://voldt.it/blogs/notizie/tipi-di-cavi-di-ricarica-per-auto-elettriche-guida-completa,Looks like a Shopify/platform or built-in component key; Translated value found in fetched storefront HTML
general.share.success_message,used_exact,Link copied to clipboard,True,False,False,False,snippets/_script-variables.liquid,,Exact key path found in source files
general.slider.name,builtin_risk,Slider,False,False,True,True,,https://voldt.it/pages/faq; https://voldt.it/pages/diventare-partner; https://voldt.it/products/cavo-di-ricarica-presa-comando-rossa-tipo-2-32a-trifase-regolabile-8a-32a-22kw; https://voldt.it/products/cavo-di-ricarica-presa-comando-tipo-da-2-a-16a-monofase-regolabile-8a-16a-3-7kw-ev; https://voldt.it/products/tipo-2-cee-modalita-3-regolabile-8a-16a-11kw; https://voldt.it/products/tipo-2-schuko-8a-16a-37kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-16a-11kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-32a-22kw; https://voldt.it/blogs/notizie/come-la-sezione-del-cavo-influisce-sulla-velocita-e-sulla-sicurezza-della-ricarica-ev; https://voldt.it/blogs/notizie/come-la-temperatura-influisce-sul-tuo-cavo-di-ricarica-per-veicoli-elettrici; https://voldt.it/blogs/notizie/perche-i-cavi-di-ricarica-ev-certificati-vengono-testati-singolarmente-prima-della-spedizione; https://voldt.it/blogs/notizie/perche-i-conducenti-di-ve-scelgono-cavi-di-ricarica-32a; https://voldt.it/blogs/notizie/quale-cavo-di-ricarica-dovrei-scegliere; https://voldt.it/blogs/notizie/tipi-di-cavi-di-ricarica-per-auto-elettriche-guida-completa,Looks like a Shopify/platform or built-in component key; Translated value found in fetched storefront HTML
general.slider.next_slide,builtin_risk,Slide right,False,False,True,False,,,Looks like a Shopify/platform or built-in component key
general.slider.of,builtin_risk,of,False,False,True,True,,https://voldt.it/; https://voldt.it/cart; https://voldt.it/collections/all; https://voldt.it/search?q=zzzzunlikelyquery&type=product&page=1; https://voldt.it/blogs/notizie; https://voldt.it/pages/faq; https://voldt.it/pages/diventare-partner; https://voldt.it/pages/reso-gratuito; https://voldt.it/products/cavo-di-ricarica-presa-comando-rossa-tipo-2-32a-trifase-regolabile-8a-32a-22kw; https://voldt.it/products/cavo-di-ricarica-presa-comando-tipo-da-2-a-16a-monofase-regolabile-8a-16a-3-7kw-ev; https://voldt.it/products/tipo-2-cee-modalita-3-regolabile-8a-16a-11kw; https://voldt.it/products/tipo-2-schuko-8a-16a-37kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-16a-11kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-32a-22kw; https://voldt.it/pages/algemeen; https://voldt.it/pages/autos; https://voldt.it/pages/garantie-en-reclamatie; https://voldt.it/pages/impressum; https://voldt.it/pages/in-quali-paesi-viaggiate-con-il-vostro-veicolo-elettrico; https://voldt.it/pages/informatie-levering; https://voldt.it/blogs/notizie/come-la-sezione-del-cavo-influisce-sulla-velocita-e-sulla-sicurezza-della-ricarica-ev; https://voldt.it/blogs/notizie/come-la-temperatura-influisce-sul-tuo-cavo-di-ricarica-per-veicoli-elettrici; https://voldt.it/blogs/notizie/perche-i-cavi-di-ricarica-ev-certificati-vengono-testati-singolarmente-prima-della-spedizione; https://voldt.it/blogs/notizie/perche-i-conducenti-di-ve-scelgono-cavi-di-ricarica-32a; https://voldt.it/blogs/notizie/quale-cavo-di-ricarica-dovrei-scegliere; https://voldt.it/blogs/notizie/tipi-di-cavi-di-ricarica-per-auto-elettriche-guida-completa,Looks like a Shopify/platform or built-in component key; Translated value found in fetched storefront HTML
general.slider.previous_slide,builtin_risk,Slide left,False,False,True,False,,,Looks like a Shopify/platform or built-in component key
gift_cards.issued.add_to_apple_wallet,used_exact,Add to Apple Wallet,True,False,True,False,templates/gift_card.liquid,,Exact key path found in source files; Looks like a Shopify/platform or built-in component key
gift_cards.issued.copy_code,used_exact,Copy gift card code,True,False,True,False,templates/gift_card.liquid,,Exact key path found in source files; Looks like a Shopify/platform or built-in component key
gift_cards.issued.copy_code_success,used_exact,Code copied successfully,True,False,True,False,templates/gift_card.liquid,,Exact key path found in source files; Looks like a Shopify/platform or built-in component key
gift_cards.issued.expiration_date,used_exact,Expires {{ expires_on }},True,False,True,False,templates/gift_card.liquid,,Exact key path found in source files; Looks like a Shopify/platform or built-in component key
gift_cards.issued.expired,used_exact,Expired,True,False,True,False,templates/gift_card.liquid,,Exact key path found in source files; Looks like a Shopify/platform or built-in component key
gift_cards.issued.gift_card_code,builtin_risk,Gift card code,False,False,True,False,,,Looks like a Shopify/platform or built-in component key
gift_cards.issued.how_to_use_gift_card,used_exact,Use the gift card code online or QR code in-store,True,False,True,False,templates/gift_card.liquid,,Exact key path found in source files; Looks like a Shopify/platform or built-in component key
gift_cards.issued.qr_image_alt,used_exact,QR code — scan to redeem gift card,True,False,True,False,templates/gift_card.liquid,,Exact key path found in source files; Looks like a Shopify/platform or built-in component key
gift_cards.issued.shop_link,used_exact,Visit online store,True,False,True,False,templates/gift_card.liquid,,Exact key path found in source files; Looks like a Shopify/platform or built-in component key
gift_cards.issued.subtext,used_exact,Your gift card,True,False,True,False,templates/gift_card.liquid,,Exact key path found in source files; Looks like a Shopify/platform or built-in component key
gift_cards.issued.title,used_exact,Here's your {{ value }} gift card balance for {{ shop }}!,True,False,True,False,templates/gift_card.liquid,,Exact key path found in source files; Looks like a Shopify/platform or built-in component key
